param_a,param_b,weight,CV_num,tn,fp,fn,tp,file_name
3,5,0.6,0,5,0,1,14,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_0_rule_3_var_per_rule_5.ftt
3,5,0.6,1,2,0,0,18,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_1_rule_3_var_per_rule_5.ftt
3,5,0.6,2,1,1,2,16,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_2_rule_3_var_per_rule_5.ftt
3,5,0.6,3,4,0,1,15,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_3_rule_3_var_per_rule_5.ftt
3,5,0.6,4,4,0,0,15,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_4_rule_3_var_per_rule_5.ftt
5,5,0.6,0,5,0,0,15,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5,5,0.6,1,2,0,0,18,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5,5,0.6,2,1,1,1,17,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5,5,0.6,3,3,1,0,16,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5,5,0.6,4,4,0,0,15,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_4_rule_5_var_per_rule_5.ftt
8,5,0.6,0,5,0,1,14,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_0_rule_8_var_per_rule_5.ftt
8,5,0.6,1,2,0,0,18,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_1_rule_8_var_per_rule_5.ftt
8,5,0.6,2,2,0,1,17,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_2_rule_8_var_per_rule_5.ftt
8,5,0.6,3,4,0,0,16,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_3_rule_8_var_per_rule_5.ftt
8,5,0.6,4,4,0,0,15,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_4_rule_8_var_per_rule_5.ftt
10,5,0.6,0,5,0,1,14,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_0_rule_10_var_per_rule_5.ftt
10,5,0.6,1,2,0,0,18,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_1_rule_10_var_per_rule_5.ftt
10,5,0.6,2,1,1,0,18,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_2_rule_10_var_per_rule_5.ftt
10,5,0.6,3,4,0,0,16,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_3_rule_10_var_per_rule_5.ftt
10,5,0.6,4,4,0,0,15,experiences/n_rules/exps_lab_lfa_number_of_rules_conf_A_CV_4_rule_10_var_per_rule_5.ftt
