param_a,param_b,weight,CV_num,tn,fp,fn,tp,file_name
7,2,0.6,0,5,0,0,15,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_0_rule_7_var_per_rule_2.ftt
7,2,0.6,1,2,0,0,18,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_1_rule_7_var_per_rule_2.ftt
7,2,0.6,2,1,1,0,18,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_2_rule_7_var_per_rule_2.ftt
7,2,0.6,3,4,0,0,16,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_3_rule_7_var_per_rule_2.ftt
7,2,0.6,4,4,0,0,15,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_4_rule_7_var_per_rule_2.ftt
7,3,0.6,0,5,0,0,15,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_0_rule_7_var_per_rule_3.ftt
7,3,0.6,1,2,0,0,18,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_1_rule_7_var_per_rule_3.ftt
7,3,0.6,2,1,1,0,18,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_2_rule_7_var_per_rule_3.ftt
7,3,0.6,3,4,0,1,15,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_3_rule_7_var_per_rule_3.ftt
7,3,0.6,4,4,0,0,15,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_4_rule_7_var_per_rule_3.ftt
8,2,0.6,0,5,0,0,15,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_0_rule_8_var_per_rule_2.ftt
8,2,0.6,1,2,0,0,18,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_1_rule_8_var_per_rule_2.ftt
8,2,0.6,2,1,1,0,18,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_2_rule_8_var_per_rule_2.ftt
8,2,0.6,3,4,0,0,16,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_3_rule_8_var_per_rule_2.ftt
8,2,0.6,4,4,0,0,15,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_4_rule_8_var_per_rule_2.ftt
8,3,0.6,0,5,0,0,15,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_0_rule_8_var_per_rule_3.ftt
8,3,0.6,1,2,0,1,17,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_1_rule_8_var_per_rule_3.ftt
8,3,0.6,2,2,0,1,17,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_2_rule_8_var_per_rule_3.ftt
8,3,0.6,3,4,0,0,16,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_3_rule_8_var_per_rule_3.ftt
8,3,0.6,4,4,0,0,15,experiences/n_rules_nvar_tuning/exps_lab_lfa_number_of_rules_var_tuning_conf_A_CV_4_rule_8_var_per_rule_3.ftt
