param_a,param_b,weight,CV_num,tn,fp,fn,tp,file_name
5,5,0,0,5,0,13,2,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5,5,0,1,2,0,18,0,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5,5,0,2,2,0,18,0,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5,5,0,3,4,0,16,0,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5,5,0,4,4,0,15,0,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5,5,0.2,0,5,0,1,14,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5,5,0.2,1,2,0,0,18,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5,5,0.2,2,2,0,0,18,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5,5,0.2,3,4,0,0,16,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5,5,0.2,4,2,2,0,15,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5,5,0.4,0,5,0,0,15,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5,5,0.4,1,2,0,0,18,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5,5,0.4,2,2,0,0,18,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5,5,0.4,3,4,0,0,16,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5,5,0.4,4,3,1,0,15,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5,5,0.6,0,5,0,2,13,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5,5,0.6,1,2,0,0,18,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5,5,0.6,2,2,0,0,18,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5,5,0.6,3,4,0,0,16,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5,5,0.6,4,4,0,0,15,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5,5,0.8,0,5,0,1,14,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5,5,0.8,1,2,0,0,18,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5,5,0.8,2,1,1,0,18,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5,5,0.8,3,4,0,0,16,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5,5,0.8,4,4,0,0,15,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5,5,1,0,1,4,0,15,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5,5,1,1,2,0,0,18,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5,5,1,2,1,1,0,18,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5,5,1,3,3,1,0,16,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5,5,1,4,0,4,0,15,experiences/sen_spe/exps_lab_lfa_senSpe_2_conf_A_CV_4_rule_5_var_per_rule_5.ftt
